Rating,Ulasan
5,"Barang mendarat dgn aman walaupun kardusnya penyok. Biasa pake size 38, karna kaki lebar jd ambil size 39. Nyaman dipake empuk juga."
5,"dapett harga flash sale. sepatunya bagus cuma buat ukuran kaki 23,5 cm pake ukuran 36 ngepas banget. saran buat yg punya ukuran kaki 23,5 cm bisa naikin 1 ukuran lagi. pe... "
4,"produknya bagus, ringan juga cuman sayang pengirimannya lama bangett 2 minggu chat adminnya juga ga membantu disuruh nunggu aja, next semoga lebih baik ya"
4,"Bagus, agak ringan juga tpi kayaknya kurang nyaman solnya kurang empuk, sama wangi lem sepatunya menyengat banget hehe"
4,"Sepatu nya bagus. Model nya cantik. Padding dalem nya cukup nyaman. Sempet size kekecilan tapi bisa di tuker dan dibantu sama admin nya. 
Sesuai dengan harga nya 😊"
4,"Sesuai Orderan, 
Yg ke 2 nie Kanky, 
Cuman Packingannya yg kurang siip, gak dobel bungkus dan plastik tipis, kalau ujan bisa basah, 
Bersyukur Sepatu nyaman dipakai. 
PER... "
5,Barang Bagus sesuai ekspektasi cuma kayaknya kalau kakinya gk lebar gk perlu up size
5,"bagusss bangettt enteng dan nyaman dipake, biasanya pake size 39 aku coba 38 ternyata pass, next beli lagii deh😍"
5,"respon seller baik..

produk ok, diatas ekpektasi. untuk kualitas sepertinya baik dan awet.

mantap Kanky"
5,"ukuran sesuai, model bagus, murah dan memuaskan, kualitas tidak murahan"
5,"Bentuk dan ukuran: Bagus dan nyaman, ukurannya pas alhamdulillah, aku naikkin satu size dari biasanya, sepatunya juga ringan, mantap pokoknya 😍😍👍👍"
5,"Sepatunya lucu dan cantik 😍 untuk ukuran kaki 38 sebenarnya pas dan masih ada space kecil di ujung jari, hanya saja sampingnya sedikit sempit 🤏"
5,"ukurannya pas, dapat harga 160 aja, warnanya baguss, cocokk bangett,puas banget sama barang nya,dri kmrin nimbang2 co apa nggk, mumpung dpat harga murah co langsung..
ngg... "
5,"fast respons..bahan bagus,ukuran sesuai,nyaman dipakai..thx"
5,"barang sesuai, harga oke, kualitas juga bagus. nyaman banget"
4,"Bagusss juga dan pass, tpi packaging nya kurang oke gapke bubble wrape dibungkus plastik bening dan dus doang, al hasil penyok2 paket guehhh"
5,"beliin buat anak, ukuran pas , bahan jug oke. ringan banget dan anak seneng banget pakenya. local brand yg keren"
5,"Ukuran pas, aku pakai size 38. Bahannya enak banget emang cocok buat running karena ringan juga... Akan belilagi sihhh
Karena rivewnya juga bagus"" untuk sepatu ini 😍"
5,"Nyamaan bgttt, size nya sesuai jugaa"
5,"Ukuran pas, biasa pake 38, dinaikin 1 size. bagus si ini. ringan. dan build qualitynya bagus banget. untuk harga dibawah 200rb. nice"
5,"jujur sy puas bgt, dgn harga segini dapet sepatu dgn kualitas sebagus ini menurut sy, melebihi ekspektasi sy, semoga semakin banyak produk anak bangsa yg bisa sebagus ini... "
5,"ukuran sesuai pesanan, seller ramah dan respon juga cepat,"
5,"Ukuranny pas 22.5 biasany k'gedean dgn insole itu , modelny simple nyaman saat d'coba moga tetap nyaman saat d'gunakn tidak bikin pegal kaki karna kaku .. Rec... "
4,"packagingnya diperbaiki ya kak padahal official store, mohon dikasi bubble wrap hehe
sepatunya agak kekecilan diukuran kakiku 25.5, engga ku retur karena besok uda dipake... "
5,"thanks gan..👌
bahan nya bagus dipakai nyaman.. modelnya oke"
5,"bagus"" aja buat cowok bahan bagus kuat buat running itu burem karena kamera hp saya buriik"
5,"Tjakep bgt sii,  cuma gaada buble wrap nya, jadi ga aman pisan... Isinya original. Pokoknya puas bgt... Saya kira ukurannya Ukuran Indonesia. No 39 25,5 saya biasa 39 24,... "
5,"Ini enak bgt gak kebesaran gak kesempitan, saran aq c yg bysa pake ukuran spatu 39 ttep ambil ukuran 39 biarpun ukuran cm nya lebih panjang ini beneran pas koq 😁 smangat... "
5,"pengirimannya cepat, baguss, pas bgt ukurannya, modelnya bagus, empuk, mantab, luar biasaa, jos gandos"
5,"ukurann pas, warna bagussss bangettt, modelll bagussss bangett sumpahhh kerennn bangttt😍😍😍😍😍😍🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩"
5,ukuran pas..ringan bagus rapi model n sol rapi
5,enak dipakai empuk jg buat olahraga ini enak bgt sih buat jogging tipis tipis juga enak bgt ga bikin sakit cantikkk warnaanyaaa thank uuu
5,sepatu ringan banget dipakai.nyaman modelnya jg bagus warna menarik
5,"Sepatunya sesuai, nyaman dan pas ukurannya"
5,"super fast delivered, product bagus dan ringan"
5,"mantul pisan..👍👍👍👍👍
fast respon,built quality dan material cukup baik,sesuai pesana
#movewithkanky 🔥🔥🔥"
5,bagus dan ringan sepatunya cocok dipake istri
5,"Sepatu bagus sekali, kualitas Internasional. Kualitas setara dgn Merk Terkenal yg range harganya diatas 700rbuan.

Material Kokoh, Enteng, rapih dan Kuat. 

Thanks. 🙂"
5,"ukuran sepatunya sesuai, biasa ambil no 39. Berat sepatu termasuk ringan, sol empuk. overall oke sih. semoga saat pemakain nyaman"
5,"ukuran pas sesuai kaki
dalamnya empuk
pengiriman juga cepat dan aman
recommended yg butuh sepatu"
5,mantap bagus bngt bahannya ringan enak buat olahraga
5,"beli untuk yg kedua kalinya dan woowwwwww selalu cakep, ringan bgt sepatunya, enak dipake jogging, insolnya juga empuk banget😍 idaman😍😍"
4,"bagussss warnanyaaaa, ukurann pas bgttt💋"
5,"Sepatu nya bagus, udh aqu pake olga dan senyaman itu, yang paling panting size nya sesuai , biasanya klo bli spatu selalu kekecilan tapi ini sesuai . Terimakasih."
5,"barang sampai dengan selamat ga ada kurang atau lecet aman sentosa . warna realpict . dominasi warna putih , abu nya sedikit bgt . sepatunya enteng juga"
5,"modelnya sangat keren, modis, dan jahitannya rapi. Sol luar bawahnya juga bagus untuk keperluan sekolah atau lari. Kualitas produk dalam negeri yang sangat diapresiasi ba... "
5,"Sepatu pesanan saya sdh diterima model dan bahannya bagus, ukuran sesuai kaki anak saya thanks"
5,"Sangatt bagus nyaman ringan, harga terjangkau.terimakasih"
5,"Pesanan cepat diproses dan pengiriman next day-nya no tipu tipu! 👍🏻

Pesan hari Minggu pas toko libur, kirain baru akan dikirim Senin dan tiba Selasa. Ternyata diproses... "
