Produk,Rating,Ulasan
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Cakepp bngett
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,UK pas.. dipakainya mantap.. terima kasih ya... toko amanah deh.. barang memuaskan..
Kanky Story Kenshin - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original,5,Bagus.. Next order lg
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Alhamdulillah paketnya SDH smpai kurirnya ramah sepatunya empuk ringan cocok buat jln sehat....
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Terbaik pokoknyaaa
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Oke banget sepatunya, walaupun kurang gede dikit cuma masih nyaman dan enting beud"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"Nyaman dipakai, semoga awet"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,4,Ok
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Keren
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Bagus sesuai
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Pas nyaman
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bagus, enak di pakai"
Kanky Sportsyle EXC 02 - Sepatu Sport Casual Sport Style Pria Dewasa,5,Manta
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Bagus sudah sampai
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Pengiriman kilat bngt..
Masa pesan hari ini, besoknya udah nyampe..

Sepatunya cakep, nyaman di kaki..

Thanks Kanky.. 
Thanks J&T.."
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Bentuk dan ukuran: Niceeeee
Kanky Story Hageshi - Sepatu Sneakers Running Pria/Wanta Dewasa,5,"Modelnya bagus, suka banget sama warnany,, minusnya di ukurannya aja, ukuran kakiku 43 sengaja ambil 44 biar ada space buat jari kaki, tapi pas d coba ngepas bangett.
Sar... "
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,4,mantabb produk sesuaii🥰🥰
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,keren
Kanky x Tahilalats x One Piece Story Kagayaku Chopper - Sepatu Sneakers Casual Sport Pria/Wanita Dewasa,5,"Barang sesuai.
Semoga saja awet."
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,👍
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Respon cepat,good job"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,4,"Puas banget tuk harga under 400.
Buat bb lebih nyaman dipakai."
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,Kanky ga pernah mengecewakan malah aq dan anak2 yg masih sekolah skrg pakai kanky juga.
