Produk,Rating,Ulasan
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Barang sdh saya terima cocok dan puas kurirnya rama pokoknya okelah
Kanky x Tahilalats x One Piece Story Kagayaku Zoro - Sepatu Sneakers Casual Sport Pria/Wanita Dewasa,5,👍
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"Akhirnya sampai juga ke rumah, ini sepatu ak kedua produk kanky dan emang bagus dan enak empuk poll, semoga bisa beli seri lain"
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"bagus dan sesuai barangnya, proses satset, recommended seller."
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,"bagus dan sesuai barangnya, proses satset, recommended seller."
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Mantap betul lah
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,"Uk ny pas,warna sesuai,sangatttt sukaaaaa syekaleeeee❤️❤️❤️"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,bagus nyaman dan ringan banget
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Super nyaman empuk banget
Kanky Story Kogyuku - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,kualitas oke dengan harga oke minusnya cuman di boxnya penyokkk jdinya gagal aesthetic deehh
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Ngak ada obat kualitas KANKY bes seler, sudah hampir satu keluarga mengunakan sepatu merk KANKY."
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Alhamdulillah sesuai insyaallah kalo butuh lagi beli disini lagi
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,ok
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,Bagus banget suka
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagus banget size d naikan n pas d kaki
KANKY x STAPLE  EXC-02  -  Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,"Puas dan istimiwir mkasih seller,kurir👍👍"
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"Pas! enak dipake, harga murah. 
cakep pula desainnya."
KANKY x STAPLE  EXC-02  -  Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,"Barang bagus, cuma proses di kirim dr penjual terlalu lama"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,menarik
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Mantap
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagus
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Bagus banget sepatunya 😍
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,"Bagus, di luar expectation"
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,"Bagus, di luar expectation"
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagusss bangeettt sumpahhh😍😍😍😍😍
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bagus,nyaman di pake"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,4,blm coba pke... tp d liat d dari luar mayan bgz 👍
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"baguss, cuma agak bingung kok gaada gradasinya dibagian sol, tapi gapapa tetep suka, trimakasih kanky"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bentuk dan ukuran: Bagus, ukuran sesuai
Warna: Grey
Cantik banget grey nya sukakkkk"
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"Bentuk dan ukuran: Bagus, sesuai
Warna: Hitam sesuai deskripsi"
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagus banget👍👍
Kanky Klasik Story Kitaro - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Barang sesuai semoga tahan lama
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,3,"ada bekas kaya cuil, sama lecet di bagian sol belakang, tolong  quality control nya yg lebih teliti lagi"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,-
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Bavus sepatunya.. nyaman dan keren
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,entengg dan baguss 🤩
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Barang realpict..puasss bangettt
KANKY x STAPLE  EXC-02  -  Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,Bener2 nih sepatu... Diluar expetasi produk blikan yg sangat layak... Pas.. Enak dipakai empuk.. Amazing..
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"Bagus,ngepas bngt padahal udah ambil size 43"
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"Mantap gak bisa berkata kata, barang bagus,gak nyesel beli disini."
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,"Mantap sesuai ekspektasi,sepatunya keren real picture & original"
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,"keren abis lokal ini gus, nyaman dipakek juga, tapi kalau mau beli beli 1 nomor diatasnya ya yaa gus biar pas"
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,bgus
Kanky Sportsyle EXC 01 - Sepatu Sport Casual Sport Style Pria Dewasa,5,Bagus sepatunya
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"sepatunya bagus banget masyaallah, kualitas top, semoga awet sepatunya, terimakasih seller"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,4,Mantap barang nya bagus sama yang d poto😍
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,"ukuran pas, nyaman, pengiriman cepat"
Kanky Sportsyle EXC 02 - Sepatu Sport Casual Sport Style Pria Dewasa,5,Good
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,Top dan keren
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,"Cakep, ringan"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,1,"BARANG TIDAK SESUAI , PESAN SEPATU YANG DATANG SKINCARE .APA INI"
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,BAGUS GAK NYESELLLL CAKEPPBANGET
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bentuk dan ukuran: bagus dan pas
Warna: 👍🏻👍🏻
Aroma: 🙅🏻‍♂️suka"
Kanky Story Hageshi - Sepatu Sneakers Running Pria/Wanta Dewasa,5,"cakeeupp warnanya, pas di kaki, enakk empuk dipakenyaa, nyaman buat joging"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,4,Suka... Warnanya lebih ke putih d banding greynya y
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Barang Bagus sesuai deskripsi pengiriman aman safety banget
KANKY x STAPLE  EXC-02  -  Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,"Bagus sepatu nya, nyaman di pakai dan enteng buat lari tapi buat berjalan di atas aspal yang bersemen yang agak lembut licin..
Alhamdulillah ukuran sesuai pas."
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Worth it harga dan kualitas
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,4,"suede nya warnanya beda, yang bagian depan kayak agak pudar, tapi overall bagus"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Barang bagus, datang sesuai pesanan"
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,4,Bagus sukaaaa
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Ukuran pas, warna sesuai dg foto. 
Semoga awet di pakai."
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bentuk dan ukuran: Sesuai dg deskripsi
Semoga awet di pakai"
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,cakeeep🔥
Kanky Klasik x NTL Xira & Nychta - Sepatu Sneakers Casual Pria/Wanita Dewasa,5,Good
Kanky Klasik x NTL Xira & Nychta - Sepatu Sneakers Casual Pria/Wanita Dewasa,5,Good
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Bentuk dan ukuran: Sesuai dan sangat baik
Daya tahan pakai: Sangat baik
Warna: Putih pink cantik"
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,2,kirain navy grey v1 wkwk
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Mantaap
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"Sepatu kanky Hiro Musashi 
😍"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,mantap solnya
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"bagus nyaman, tapi pilih abu abu ternyata warnanya malah lebih dominan ke putih (hampir gakeliatan warna abunya) tp itu gapapa ga masalah, untuk sol nya empuk ya nyaman b... "
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Barang bagus sesuai pesanan.
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,keren nyaman pengiriman sangat cepat mantapp
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,4,Baguuussss
Kanky Story Kogyuku - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Barang sesuau gambar, nyaman di pakek, Pengiriman cepat, sesuai harapan"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,pengiriman cepat
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Ok sih buat harga 300 an, sepatu ringan dan empuk bngt"
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Sepatu ringan,dalam nya empuk, mantul, semoga aja enakan dipake running"
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,💙 Bagusss
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bagus banget, kenyamanan gak kalah sama merk mahal, size sesuai deskripsi.. semoga awet..
Saran utk pengiriman tolong pakai bubble wrap."
Kanky Klasik x NTL Xira & Nychta - Sepatu Sneakers Casual Pria/Wanita Dewasa,5,"Keren,, ringan, pak misua suka😄"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Sepatunya bagus 😍
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Barang bagus banget ringan di pake gak berat sama sekali pokok debes deh 🔥😍🥳
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Bagus seusai ringn pula sepatuny😍
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"baguss sih aku sukaa,semoga ga gampang jeboll ya
oh ya ini buat running pemula oke banget sih,ringann jugaa
uk nya juga pas banget 40 masi ada sisa padal uda pake kaos ka... "
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,"model keren, bahan bagus, nyaman dipakai"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Pas. Sesuai ukuran.
Nyaman dan ringan."
Kanky x Tahilalats x One Piece Story Kagayaku Zoro - Sepatu Sneakers Casual Sport Pria/Wanita Dewasa,5,ini pembelian sepasang Kagayaku yang kedua hasil kolaborasi sebelumnya sudah beli sepasang Kagayaku yang polosannya terima kasih ya sudah menyediakannya
KANKY x STAPLE  EXC-02  -  Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,sepasang masih baru sesuai harapan sengaja pilih pink soalnya sudah punya celana panjang warna pink nanti bakal dipakai barengan agar serasi
Kanky Sportsyle EXC 02 - Sepatu Sport Casual Sport Style Pria Dewasa,5,Mantap👍
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Puas.... Sesuai exspextasi.... 😍
Sepatu ringan, nyaman dipake"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagus sepatunya ringan pengiriman cepet ga sampe 24 jam udah dateng padahal beda kabupaten beda kota. Ukuran kaki 25 cm ambil uk 40 pass agak longgar dikit tapi enak
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Kalo ada bintang 100 aku bakal kasih ke Kanky.. produknya ga diraguin bagus 👍🏻adminnya baik2 bgt, gercep, pelayanannya the best, mau tuker size boleh banget ga pake rib... "
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,Ganteng
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Mantap ..
Kualitas bagus..."
Kanky Street RC-02 by Rico Lubis - Sepatu Basketball Pria Dewasa,4,"emang bagus produk buatan lokal, mending produk lokal yang kualitasnya bisa lebih hedon tapi biaya nya relatif murah. Tapi Catatan nih buat adminnya nih, Kalau ada custom... "
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Warna: Sesuai dengan yg di order
Bentuk dan ukuran: Pas
Outsole nya empuk, spatunya ringan, nyaman di kenakan."
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"Produk sesuai pas di kaki, kualitas kerennn"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Alhamdulillah bgs bgtt
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,Gilaaaaaa thank you kanky x dr. tirta bikin sepatu secakep ini woy !!!
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Cakep
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Sepatunya bagus
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Gantengg kalii gaezz 🔥
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"untuk packing rapih,sebelom sorry min udh marah""😬 karna warna yg dipesan tbtb kosong,tp udh pasrah ganti warna lain,tp pas sampe tbtb sesuai sama yg dipesen🙏🏻,than... "
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,Sepatunya enak banget! Empuk
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,baguss sesuaii sama di foto keren pokonya cocok buat kado pasangan hehe
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Serius pakainya nyaman buat jalan jarak jauh, sempa kena huja tapi besoknya langsung kering  , i love it"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Mantab . Real pic, sesuai pesanan. Smoga awet"
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"Cintailah produk2 indonesia😍
Bagus sekali"
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Bagus banget..nget...Alhamdulillah
Kanky Story Kogyuku - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,suka banget..nyaman..
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,4,"Bagus, enteng, cuma ada beberapa noda di bagian tali, sama di bagian tulisan kanky runnya, ini harusnya ga Lolo qc ga si :("
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Barang bagus, mau beli lagi utk olahraga"
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"Tidak ragu lagi, ini pembelian kedua sy untuk produk kanky"
KANKY x SBTG x STAPLE  Story Fuji & K-FLEX  -  Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,Mantab
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Keren banget sepatunya
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Cocok untuk tracking, sepatu ringan, ukuran jg pas dikaki"
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,"Bagus tapi sayang bngt salah ambil ukuran gara"" ikutin ukuran diameternya,padahal biasa pake 41 malah ambil 40,jadi agak ngepas dan ketika pake kaos kaki jadi sempit... "
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,Barang ghoib yang sangat istimewa💯
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"Terbaik memang. Seller fastrep, tuker ukuran prosesnya cepet bgt. Kualitas gausah diraguin lagi🔥"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagus ukuran pas
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,Worth it 😇😍
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"Bagus sepatunya empuk, ringan. Enak dipakai jalan. Belum dicoba buat jalan jauh tp semoga enak dan awet. Warnanya bagus abu muda ada aksen pink dan hijau tosca. Ukuran ju... "
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Mantap sepatu nya worth it to buy
Kanky Klasik Story Kitaro - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Top markotop
Kanky Sportsyle EXC 01 - Sepatu Sport Casual Sport Style Pria Dewasa,5,Bagus banget Alhamdulillah
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,"Biar bintang yang berbicara⭐️⭐️⭐️⭐️⭐️
Recomendeeedddd gak ada obat. Pengiriman cepat, box aman gak ada lecet.josss👍👍👍👍👍"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"ringan, bahan bagus"
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,baguss banget sumpah enak bgt empuk
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Good
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,Bagus pol
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Shape and size: Fit ke telapak kaki, disarankan kalau mau agak longga mending up size
Wearability: Bobot sepatu enteng banget
Color: Bagus"
KANKY x STAPLE  EXC-02  -  Sepatu Casual Sport Style Pria Dewasa - Kanky Sportstyle,5,Bagus real sesuai foto enteng
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Keren, nyaman dipake, ringan"
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,Bentuk dan ukuran: Bagus dan pas
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Ringan sangat nyaman🤩🤩
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,oke mantap sesuai pas
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,sampai dengan selamat dan cepat
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Sesui diskripsi ccuman upsize harusnya
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Mantaf
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Alhamdulillah barang dh nyampe order yg ke2x nya beda model
Suka banget dg sepatu nya sangat ringan so nyaman dipakai"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Pas,bagus, mantabbbb jgn ragu sih lgsg co aja buat kalian yg msh ragu...pke SPT size biasanya aja kecuali klo kaki km lebar naikin 1 size."
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,4,"Bagus banget modelnya suka,ukuran pas"
Kanky x Tirta Story Sensu V2 - Sepatu Casual Sport Pria/Wanita Dewasa,5,Selalu suka dengan produk kanky makasih seller semoga berkah
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Barang bagus mantap, keren bgt ini 🥰🥰👍👍👍"
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,"Size pas, sepatu terasa ringan dipakai, pengiriman & pengemasan rapi. Thank you! Semoga sukses selalu 👍"
Kanky Sportsyle EXC 01 - Sepatu Sport Casual Sport Style Pria Dewasa,5,"Sumpah ini keren bgt, pertama kali pesan Kanky dan gak mengecewakan samsek, semuanya aman gk lecet. Agak lama sampai Maluku Utara tapi bahkan dusnya aja aman gk penyok sa... "
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Murah bagus pengiriman cepat
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,Sangat bagus
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,uk pas ringan nyaman
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,bahan bagus dan model nya bagus nyaman di pakai
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,bagulssssb ukurann pas .. reall ficchhhb
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,4,"Tumben ya kak 41 ny press bngt.
Biasanya saya ukuran 41 ada longgar ny dikit"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Ringan. Empuk.
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,bagus
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,sepatunya ringan dan nyaman di pake
Kanky Sportsyle EXC 02 - Sepatu Sport Casual Sport Style Pria Dewasa,5,Mantul
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,4,"sepatutnya bagus pol, tapi sayang penjual ngirim nya lama, aku biasanya ukuran 25,5 cm ini ambil yang 26 masi agak kekecilan tapi untung barangnya bagus"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,"Produk sesuai dengan gambar, semoga awet dipakenya"
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"udah pembelian ke 2, karna yang pertama diambil sama mama karna beneran ringan bgt😭"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,Bagus bgtt
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Sepatunya pas dan empuk, warnanya juga bagus abu soft. Cocok dipake olahraga atau kerja, ngga ada yang minus menurutku karena benar² bagus👍"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Pengiriman cepat, kualitas barangnya ok banget. Maaf ga sempet foto"
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,"Bagus bnget sumpah baru punya satu dari kangkung ,next harus beli lagi siih"
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,"modelnya keren, bagus, mantap. ukuran pas. pengiriman cepat. bintang limaaaa. harga murah meriah. cocok dipakai buat olahraga, kerja kasual, kuli ********* ****** listrik... "
Kanky Hiro Nobunaga V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dew,5,"bahan nya yang ringan, cocok buat jalan atau lari"
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,Bentuk dan ukuran: Sesuai
Kanky Hiro Keiji V2 - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,"Realpict... empuk, ringan & rapi"
Kanky Story Kitadake - Sepatu Gunung Casual Sport Style Pria Dewasa,5,"mantappp akhirnyaa kitadake all black! 
pengiriman cepat, packing rapihhh"
Kanky Yuga Makie - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa Kanky Original Shoes,5,"cakeeeppp bgt ini weehhhh, di kaki pas gak kegedean/kekecilaann, semoga aweett yaaa🤍✨"
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,3,"Biasanya tgl kasih b5 tanpa komen, barang sesuai, bagus, uk 42 terlalu ngepas, PENGIRIMAN NYA LAMA 8-10 HARI LUPA, ga di info, br inget pernah pesen, dichat br dikirim"
Kanky Yuga Ikebana - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,bagus
Kanky Hiro Nobunaga - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Bagus suka
Kanky x Tirta Story Mizu - Sepatu Sneakers Running Pria Dewasa,5,bagus bangettt
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Baguss
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,mantap
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,👍
Kanky Story Gozen - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Satu rumah kanky semua..😍
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Kanky Rubber Shoes,5,Ok
Kanky Story Honjo - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa Kanky Original Rubber Shoes,5,keren
Kanky Story Suiko - Sepatu Sneakers Casual Sport Sekolah Wanita Dewasa,5,Bagus bgttt bestt pokoknya
Kanky Hiro Musashi - Sepatu Sneakers Casual Sport Sekolah Pria Dewasa,5,Kanky is ok!!!!!!!
